T_amb (F), RH_amb (%), Tmains (F), Draw Volume(gal), T_tank (F), E_consumed (Btu), E_delivered (Btu), E_tankloss (Btu) 
71.0,15.4161,50.0784,[ 0.],[ 124.99406635],0,[ 0.],[ 132.95950525]
71.0,15.4161,50.0784,[ 0.],[ 124.98813335],0,[ 0.],[ 132.94489534]
71.0,15.4161,50.0784,[ 0.],[ 124.982201],0,[ 0.],[ 132.93028703]
71.0,15.4161,50.0784,[ 0.],[ 124.97626931],0,[ 0.],[ 132.91568032]
71.0,15.4161,50.0784,[ 0.],[ 124.97033826],0,[ 0.],[ 132.90107523]
71.0,15.4161,50.0784,[ 0.],[ 124.96440787],0,[ 0.],[ 132.88647173]
71.0,15.4161,50.0784,[ 0.],[ 124.95847813],0,[ 0.],[ 132.87186984]
71.0,15.4161,50.0784,[ 0.],[ 124.95254904],0,[ 0.],[ 132.85726956]
71.0,15.4161,50.0784,[ 0.],[ 124.9466206],0,[ 0.],[ 132.84267088]
71.0,15.4161,50.0784,[ 0.],[ 124.94069282],0,[ 0.],[ 132.8280738]
71.0,15.4161,50.0784,[ 0.],[ 124.93476568],0,[ 0.],[ 132.81347833]
71.0,15.4161,50.0784,[ 0.],[ 124.9288392],0,[ 0.],[ 132.79888446]
71.0,15.4161,50.0784,[ 0.],[ 124.92291337],0,[ 0.],[ 132.7842922]
71.0,15.4161,50.0784,[ 0.],[ 124.91698819],0,[ 0.],[ 132.76970154]
71.0,15.4161,50.0784,[ 0.],[ 124.91106366],0,[ 0.],[ 132.75511248]
71.0,15.4161,50.0784,[ 0.],[ 124.90513978],0,[ 0.],[ 132.74052502]
71.0,15.4161,50.0784,[ 0.],[ 124.89921655],0,[ 0.],[ 132.72593917]
71.0,15.4161,50.0784,[ 0.],[ 124.89329397],0,[ 0.],[ 132.71135492]
71.0,15.4161,50.0784,[ 0.],[ 124.88737205],0,[ 0.],[ 132.69677228]
71.0,15.4161,50.0784,[ 0.],[ 124.88145077],0,[ 0.],[ 132.68219123]
71.0,15.4161,50.0784,[ 0.],[ 124.87553015],0,[ 0.],[ 132.66761179]
71.0,15.4161,50.0784,[ 0.],[ 124.86961017],0,[ 0.],[ 132.65303395]
71.0,15.4161,50.0784,[ 0.],[ 124.86369085],0,[ 0.],[ 132.63845771]
71.0,15.4161,50.0784,[ 0.],[ 124.85777217],0,[ 0.],[ 132.62388307]
71.0,15.4161,50.0784,[ 0.],[ 124.85185415],0,[ 0.],[ 132.60931004]
71.0,15.4161,50.0784,[ 0.],[ 124.84593678],0,[ 0.],[ 132.59473861]
71.0,15.4161,50.0784,[ 0.],[ 124.84002006],0,[ 0.],[ 132.58016877]
71.0,15.4161,50.0784,[ 0.],[ 124.83410398],0,[ 0.],[ 132.56560054]
71.0,15.4161,50.0784,[ 0.],[ 124.82818856],0,[ 0.],[ 132.55103391]
71.0,15.4161,50.0784,[ 0.],[ 124.82227379],0,[ 0.],[ 132.53646888]
71.0,15.4161,50.0784,[ 0.],[ 124.81635967],0,[ 0.],[ 132.52190545]
71.0,15.4161,50.0784,[ 0.],[ 124.81044619],0,[ 0.],[ 132.50734362]
71.0,15.4161,50.0784,[ 0.],[ 124.80453337],0,[ 0.],[ 132.49278339]
71.0,15.4161,50.0784,[ 0.],[ 124.7986212],0,[ 0.],[ 132.47822476]
71.0,15.4161,50.0784,[ 0.],[ 124.79270967],0,[ 0.],[ 132.46366773]
71.0,15.4161,50.0784,[ 0.],[ 124.7867988],0,[ 0.],[ 132.4491123]
71.0,15.4161,50.0784,[ 0.],[ 124.78088858],0,[ 0.],[ 132.43455847]
71.0,15.4161,50.0784,[ 0.],[ 124.774979],0,[ 0.],[ 132.42000624]
71.0,15.4161,50.0784,[ 0.],[ 124.76907008],0,[ 0.],[ 132.40545561]
71.0,15.4161,50.0784,[ 0.],[ 124.7631618],0,[ 0.],[ 132.39090657]
71.0,15.4161,50.0784,[ 0.],[ 124.75725417],0,[ 0.],[ 132.37635914]
71.0,15.4161,50.0784,[ 0.],[ 124.75134719],0,[ 0.],[ 132.3618133]
71.0,15.4161,50.0784,[ 0.],[ 124.74544087],0,[ 0.],[ 132.34726906]
71.0,15.4161,50.0784,[ 0.],[ 124.73953519],0,[ 0.],[ 132.33272642]
71.0,15.4161,50.0784,[ 0.],[ 124.73363015],0,[ 0.],[ 132.31818538]
71.0,15.4161,50.0784,[ 0.],[ 124.72772577],0,[ 0.],[ 132.30364594]
71.0,15.4161,50.0784,[ 0.],[ 124.72182204],0,[ 0.],[ 132.28910809]
71.0,15.4161,50.0784,[ 0.],[ 124.71591895],0,[ 0.],[ 132.27457184]
71.0,15.4161,50.0784,[ 0.],[ 124.71001652],0,[ 0.],[ 132.26003719]
